iter	Passed	Remaining
645	3080	1688
646	3085	1683
647	3089	1678
648	3094	1673
649	3098	1668
650	3102	1663
651	3108	1659
652	3112	1654
653	3117	1649
654	3121	1644
655	3126	1639
656	3130	1634
657	3134	1629
658	3139	1624
659	3143	1619
660	3147	1614
661	3152	1609
662	3156	1604
663	3161	1599
664	3165	1594
665	3170	1589
666	3174	1584
667	3179	1580
668	3183	1575
669	3188	1570
670	3192	1565
671	3197	1560
672	3201	1555
673	3205	1550
674	3210	1545
675	3214	1540
676	3219	1535
677	3223	1530
678	3228	1526
679	3232	1521
680	3237	1516
681	3241	1511
682	3246	1506
683	3250	1501
684	3254	1496
685	3259	1491
686	3263	1486
687	3268	1482
688	3272	1477
689	3277	1472
690	3281	1467
691	3285	1462
692	3290	1457
693	3294	1452
694	3298	1447
695	3303	1442
696	3307	1437
697	3312	1433
698	3316	1428
699	3321	1423
700	3325	1418
701	3330	1413
702	3334	1408
703	3339	1403
704	3343	1399
705	3347	1394
706	3352	1389
707	3356	1384
708	3361	1379
709	3365	1374
710	3370	1369
711	3374	1365
712	3379	1360
713	3383	1355
714	3387	1350
715	3392	1345
716	3397	1340
717	3401	1336
718	3405	1331
719	3410	1326
720	3414	1321
721	3419	1316
722	3423	1311
723	3428	1306
724	3432	1302
725	3437	1297
726	3441	1292
727	3445	1287
728	3450	1282
729	3454	1277
730	3459	1273
731	3463	1268
732	3468	1263
733	3472	1258
734	3477	1253
735	3481	1248
736	3486	1243
737	3490	1239
738	3495	1234
739	3499	1229
740	3503	1224
741	3508	1219
742	3512	1214
743	3516	1210
744	3521	1205
745	3525	1200
746	3530	1195
747	3534	1190
748	3539	1186
749	3543	1181
750	3548	1176
751	3552	1171
752	3556	1166
753	3561	1161
754	3565	1157
755	3570	1152
756	3575	1147
757	3579	1142
758	3584	1138
759	3588	1133
760	3593	1128
761	3597	1123
762	3601	1118
763	3606	1113
764	3610	1109
765	3615	1104
766	3619	1099
767	3623	1094
768	3628	1089
769	3632	1085
770	3637	1080
771	3641	1075
772	3646	1070
773	3650	1065
774	3655	1061
775	3659	1056
776	3663	1051
777	3668	1046
778	3673	1042
779	3677	1037
780	3682	1032
781	3686	1027
782	3691	1023
783	3695	1018
784	3700	1013
785	3704	1008
786	3709	1003
787	3713	999
788	3718	994
789	3722	989
790	3726	984
791	3731	979
792	3735	975
793	3740	970
794	3744	965
795	3749	960
796	3753	956
797	3758	951
798	3762	946
799	3766	941
800	3771	936
801	3775	932
802	3780	927
803	3784	922
804	3789	917
805	3793	913
806	3798	908
807	3802	903
808	3807	898
809	3811	894
810	3816	889
811	3820	884
812	3825	879
813	3829	875
814	3833	870
815	3838	865
816	3842	860
817	3847	855
818	3851	851
819	3856	846
820	3860	841
821	3865	837
822	3870	832
823	3877	828
824	3881	823
825	3886	818
826	3891	813
827	3895	809
828	3900	804
829	3904	799
830	3909	795
831	3913	790
832	3918	785
833	3922	780
834	3927	776
835	3932	771
836	3936	766
837	3940	761
838	3945	757
839	3949	752
840	3954	747
841	3971	745
842	3975	740
843	3980	735
844	3984	730
845	3988	726
846	3993	721
847	3998	716
848	4002	711
849	4007	707
850	4011	702
851	4016	697
852	4020	692
853	4024	688
854	4029	683
855	4033	678
856	4037	673
857	4042	669
858	4046	664
859	4051	659
860	4055	654
861	4060	649
862	4064	645
863	4068	640
864	4073	635
865	4077	630
866	4082	626
867	4086	621
868	4090	616
869	4095	611
870	4099	607
871	4104	602
872	4108	597
873	4112	592
874	4117	588
875	4121	583
876	4126	578
877	4130	573
878	4135	569
879	4139	564
880	4144	559
881	4148	555
882	4153	550
883	4157	545
884	4162	540
885	4166	536
886	4171	531
887	4175	526
888	4180	521
889	4184	517
890	4188	512
891	4193	507
892	4197	502
893	4202	498
894	4206	493
895	4211	488
896	4215	484
897	4219	479
898	4224	474
899	4228	469
900	4233	465
901	4237	460
902	4242	455
903	4246	450
904	4250	446
905	4255	441
906	4259	436
907	4264	432
908	4268	427
909	4273	422
910	4277	417
911	4281	413
912	4286	408
913	4290	403
914	4294	398
915	4299	394
916	4303	389
917	4308	384
918	4312	380
919	4317	375
920	4321	370
921	4326	365
922	4330	361
923	4335	356
924	4339	351
925	4344	347
926	4348	342
927	4353	337
928	4357	333
929	4361	328
930	4366	323
931	4370	318
932	4375	314
933	4379	309
934	4384	304
935	4388	300
936	4393	295
937	4397	290
938	4401	285
939	4406	281
940	4410	276
941	4415	271
942	4419	267
943	4423	262
944	4428	257
945	4432	253
946	4437	248
947	4442	243
948	4447	238
949	4451	234
950	4456	229
951	4460	224
952	4465	220
953	4469	215
954	4473	210
955	4478	206
956	4482	201
957	4487	196
958	4491	192
959	4496	187
960	4500	182
961	4505	177
962	4509	173
963	4514	168
